企業名,クライアント名,商品名,カテゴリー,URL,配信ステータス,配信目的
ツーウェイワールド株式会社,BIBIDAY,マルチミスト,日用品,https://vt.tiktok.com/ZSRmjy3pM/,配信中,動画視聴
第一三共ヘルスケア株式会社,ブレスラボ,ブレスラボ,日用品,https://vt.tiktok.com/ZSdyWkRJs/,配信中,動画視聴
第一三共ヘルスケア株式会社,アクネージュ,アクネージュ,スキンケア,https://vt.tiktok.com/ZS89CGPn8/,配信中,動画視聴
株式会社Waphyto,Waphyto,インティメント,スキンケア,https://vt.tiktok.com/ZSdyWD7c8/,配信中,動画視聴
株式会社Waphyto,Waphyto,ボディクリーム,日用品,https://vt.tiktok.com/ZSdyWD7c8/,配信中,動画視聴
株式会社ニトリ,ニトリデコホーム,デコホーム,日用品,https://vt.tiktok.com/ZSRQomT5k/,配信中,動画視聴
株式会社マンダム,CYQ,ちやほやプリンセス,メイクアップ,https://vt.tiktok.com/ZSLHKedMn/,配信中,動画視聴
株式会社マンダム,CYQ,CYQメガチップ,メイクアップ,https://www.tiktok.com/@tobuy_desu/video/7146088096218516738?_r=1&_t=8eJB9qJhjgG,配信中,動画視聴
株式会社マンダム,CYQ,人中短縮メイク,メイクアップ,https://vt.tiktok.com/ZSLHKL36J/,配信中,動画視聴
株式会社カネボウ化粧品	,KATE,3秒ブロウブラシ,メイクアップ,https://vt.tiktok.com/ZSRb1Lyvs/,配信中,動画視聴
株式会社カネボウ化粧品	,KATE,狙い撃ちシェードブラシ,メイクアップ,https://vt.tiktok.com/ZSRb16JF8/,配信中,動画視聴
株式会社カネボウ化粧品	,KATE,ぴたラメブラシ,メイクアップ,https://vt.tiktok.com/ZSRb1NM7T/,配信中,動画視聴
株式会社カネボウ化粧品	,DEW,アフターグロウドロップ,スキンケア,https://www.tiktok.com/@tobuy_desu/video/7158401094358420737?_r=1&_t=8eJBFrP90sM,配信中,動画視聴
花王株式会社,ケープ,手櫛が通せるケープ,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7165807338144697602?lang=ja-JP,配信終了,動画視聴
ベリタス販売株式会社,ラピッドラッシュ,ラピッドラッシュ,メイクアップ,https://vt.tiktok.com/ZSLHwhL7q/,配信中,動画視聴
花王株式会社,エッセンシャル,バリアトリートメント,ヘアケア・スタイリング,https://vt.tiktok.com/ZSLHwwkX9/,配信終了,動画視聴
株式会社カネボウ化粧品	,DEW,アフターグロウドロップ,スキンケア,https://www.tiktok.com/@tobuy_desu/video/7176236040271760641?_r=1&_t=8eJBF14ijHr,配信中,動画視聴
花王株式会社,Liese,プレイフル,ヘアケア・スタイリング,https://vt.tiktok.com/ZSLHKL36J/,配信終了,動画視聴
花王株式会社,ケープ,黒ケープ,ヘアケア・スタイリング,https://vt.tiktok.com/ZSLHwRvV3/,配信終了,動画視聴
エステー株式会社,ナチュリーフ,ナチュリーフ,日用品,https://vt.tiktok.com/ZSLHwbL9H/,配信中,動画視聴
イミュ株式会社,dejavu,眉マスカラ,メイクアップ,https://vt.tiktok.com/ZS8PLVFew/,配信中,動画視聴
サラヤ株式会社,ヤシノミ,食器用洗剤,日用品,https://vt.tiktok.com/ZS8axoVkh/,配信中,動画視聴
花王株式会社,Primavista,フェイスパウダー（透明感編）,メイクアップ,https://www.tiktok.com/@tobuy_desu/video/7196958093996084481?lang=ja-JP,配信中,動画視聴
花王株式会社,Primavista,フェイスパウダー（ベスコス編）,メイクアップ,https://www.tiktok.com/@tobuy_desu/video/7199552272488058114?lang=ja-JP,配信中,動画視聴
花王株式会社,IROKA,,日用品,https://www.tiktok.com/@tobuy_desu/video/7199928951005793538?_r=1&_t=8eJB4PhPQM3,配信中,動画視聴
株式会社サン・スマイル,JMsolution,日焼け止め,スキンケア,https://vt.tiktok.com/ZS8mwrFW4/,配信中,動画視聴
アモーレパシフィックジャパン株式会社,ETUDE,ニューイヤーコレクション,メイクアップ,https://www.tiktok.com/@tobuy_desu/video/7203631349494795521?lang=ja-JP,配信中,動画視聴
ライオン株式会社,アクロン,アクロンスマートケア,日用品,https://vt.tiktok.com/ZS8HKcPYp/,配信中,動画視聴
株式会社サン・スマイル,RISM,美容ケア,スキンケア,https://www.tiktok.com/@tobuy_desu/video/7205497860119350530,配信中,動画視聴
株式会社サン・スマイル,IEAPA,カクタスバンド,日用品,https://www.tiktok.com/@tobuy_desu/video/7205497683161664770?lang=ja-JP,配信中,動画視聴
ピアス株式会社,デジャヴュ,マスカラ,メイクアップ,https://vt.tiktok.com/ZS893P9hq/,配信中,動画視聴
株式会社サン・スマイル,/IM meme,美容ケア,メイクアップ,https://www.tiktok.com/@tobuy_desu/video/7208383784708820225,配信中,動画視聴
株式会社サン・スマイル,CHOOSYmoist,グッドナイトジェリーパック,スキンケア,https://www.tiktok.com/@tobuy_desu/video/7210970386958175489,配信中,動画視聴
株式会社コーセー,スティーブンノル,スティーブンノル/リペアコントロール,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7212501073393732866,配信中,動画視聴
